episode,env_steps,weight_norm,srank,srank_max
81001,78643200,176.96658325195312,22,256
81214,79052800,177.1831817626953,31,256
81448,79462400,177.35520935058594,32,256
81679,79872000,177.56541442871094,27,256
81884,80281600,177.70620727539062,35,256
82106,80691200,177.89759826660156,25,256
82318,81100800,178.0699005126953,23,256
82524,81510400,178.24632263183594,24,256
82759,81920000,178.4051513671875,25,256
82969,82329600,178.55296325683594,32,256
83180,82739200,178.679443359375,24,256
83376,83148800,178.8317413330078,27,256
83589,83558400,179.00071716308594,36,256
83807,83968000,179.13723754882812,22,256
84003,84377600,179.26622009277344,28,256
84204,84787200,179.4097442626953,28,256
84415,85196800,179.58432006835938,26,256
84631,85606400,179.69528198242188,27,256
84839,86016000,179.78863525390625,23,256
85059,86425600,179.90599060058594,30,256
85270,86835200,180.0332489013672,24,256
85476,87244800,180.1593017578125,26,256
85684,87654400,180.2388153076172,29,256
85879,88064000,180.37844848632812,28,256
86091,88473600,180.4584503173828,34,256
86292,88883200,180.55479431152344,28,256
86490,89292800,180.64820861816406,29,256
86692,89702400,180.69268798828125,27,256
86893,90112000,180.74349975585938,29,256
87091,90521600,180.83460998535156,30,256
87309,90931200,180.9161376953125,25,256
87505,91340800,180.9639129638672,24,256
87707,91750400,181.0623779296875,30,256
87912,92160000,181.1376953125,31,256
88103,92569600,181.19300842285156,27,256
88301,92979200,181.24501037597656,23,256
88525,93388800,181.32806396484375,29,256
88728,93798400,181.3836212158203,22,256
88922,94208000,181.43057250976562,21,256
89126,94617600,181.48004150390625,25,256
89316,95027200,181.54493713378906,23,256
89504,95436800,181.5858154296875,22,256
89705,95846400,181.6038360595703,27,256
89884,96256000,181.65289306640625,27,256
90076,96665600,181.68002319335938,26,256
90271,97075200,181.71051025390625,27,256
90468,97484800,181.73374938964844,26,256
90703,97894400,181.74423217773438,23,256
90885,98304000,181.76321411132812,24,256
91065,98713600,181.76754760742188,28,256
91265,99123200,181.77557373046875,29,256
91444,99532800,181.78271484375,29,256
91638,99942400,181.78518676757812,22,256
91660,99999744,181.78521728515625,27,256
