pygame-ce 2.5.7 (SDL 2.32.10, Python 3.14.6)
output: final_results\02_ddqn_vec_attention\DDQN_seed0_0806_175409
random baseline: mean=9.80+-1.28 max=21

[training setup]
model   : DDQN / AttentionQNetwork (269,321 trainable parameters)
arch    : 
            [agent encoder]     Linear(2->256) -> LayerNorm -> ReLU
            [ball encoder]      Linear(4->256) -> LayerNorm -> ReLU  (x,y,vx,vy; x,y는 agent 기준 상대좌표. 공 40개에 각각 동일하게 적용, 파라미터 공유)
            [+ sentinel]        학습되는 '공 없음' key/value 1개 추가 (항상 마스킹 안 함)
            [cross-attention]   Q=agent embed(1개) , K=V=ball embed(40개)+sentinel(1개) -> 4 head x 64dim -> softmax(QK^T/sqrt(d))·V (mask=0인 빈 슬롯은 attention에서 제외)
            [out_proj]          Linear(256->256)
            [combine]           agent embed + attention -> LayerNorm -> ReLU
            [head]              Linear(256->9)
run     : device=cuda, seed=0, episodes=3000
optim   : lr=0.0001, gamma=0.99, batch=32, buffer=100000, hidden=256, layer_norm=True, dueling_net=False, use_attention=True(4 heads, fusion=residual, position=relative), augmentation=False(spawn_safe), loss_fn=mse, max_grad_norm=10
update  : learning_starts=8000, train_every=4, target_every=1000
explore : epsilon=1->0.01, decay=0.0033
env     : type=vec, obs=(202,), actions=9, frame_stack=4, frame_skip=4, max_steps=10800
logging : log_every=20, eval_every=100, eval_episodes=20
artifact: best_agent.gif + best_agent_observation.gif, seed=20000, model_fps=15, decision_frames=True

ep 1880/3000 steps=719617 score20=40.60 eps=0.010 loss=0.00715 q=1.177 sps=298 elapsed=40.2m
ep 1900/3000 steps=730852 score20=36.95 eps=0.010 loss=0.00580 q=1.138 sps=299 elapsed=40.8m
  [eval] ep=1900 mean=34.65+-3.59 median=33.0 max=73 P(>=120)=0.00 entropy=1.00/2.20 wnorm=35.557 srank=79/256
ep 1920/3000 steps=742420 score20=38.20 eps=0.010 loss=0.00649 q=1.147 sps=297 elapsed=41.7m
ep 1940/3000 steps=753825 score20=37.55 eps=0.010 loss=0.00654 q=1.153 sps=297 elapsed=42.4m
ep 1960/3000 steps=765744 score20=39.20 eps=0.010 loss=0.00667 q=1.207 sps=297 elapsed=43.0m
ep 1980/3000 steps=772512 score20=22.10 eps=0.010 loss=0.00630 q=1.242 sps=297 elapsed=43.3m
ep 2000/3000 steps=783841 score20=37.30 eps=0.010 loss=0.00654 q=1.207 sps=297 elapsed=44.0m
  [eval] ep=2000 mean=49.05+-4.09 median=47.0 max=79 P(>=120)=0.00 entropy=0.51/2.20 wnorm=36.067 srank=65/256
ep 2020/3000 steps=796217 score20=40.80 eps=0.010 loss=0.00631 q=1.201 sps=294 elapsed=45.1m
ep 2040/3000 steps=808369 score20=40.00 eps=0.010 loss=0.00641 q=1.209 sps=294 elapsed=45.8m
ep 2060/3000 steps=817449 score20=29.80 eps=0.010 loss=0.00536 q=1.154 sps=295 elapsed=46.3m
ep 2080/3000 steps=827055 score20=31.50 eps=0.010 loss=0.00590 q=1.114 sps=295 elapsed=46.7m
ep 2100/3000 steps=835877 score20=28.90 eps=0.010 loss=0.00521 q=1.102 sps=295 elapsed=47.2m
  [eval] ep=2100 mean=26.20+-2.55 median=26.5 max=47 P(>=120)=0.00 entropy=0.99/2.20 wnorm=36.652 srank=61/256
ep 2120/3000 steps=843742 score20=25.85 eps=0.010 loss=0.00580 q=1.105 sps=295 elapsed=47.7m
ep 2140/3000 steps=853081 score20=30.70 eps=0.010 loss=0.00569 q=1.105 sps=295 elapsed=48.2m
ep 2160/3000 steps=862352 score20=30.25 eps=0.010 loss=0.00652 q=1.106 sps=296 elapsed=48.6m
ep 2180/3000 steps=873395 score20=36.25 eps=0.010 loss=0.00574 q=1.112 sps=296 elapsed=49.1m
ep 2200/3000 steps=885416 score20=39.60 eps=0.010 loss=0.00697 q=1.141 sps=297 elapsed=49.7m
  [eval] ep=2200 mean=33.60+-3.18 median=32.5 max=72 P(>=120)=0.00 entropy=0.47/2.20 wnorm=37.099 srank=66/256
ep 2220/3000 steps=897180 score20=38.70 eps=0.010 loss=0.00740 q=1.174 sps=296 elapsed=50.5m
ep 2240/3000 steps=906068 score20=29.05 eps=0.010 loss=0.00626 q=1.196 sps=297 elapsed=50.9m
ep 2260/3000 steps=915045 score20=29.55 eps=0.010 loss=0.00659 q=1.204 sps=297 elapsed=51.4m
ep 2280/3000 steps=926774 score20=38.65 eps=0.010 loss=0.00691 q=1.200 sps=296 elapsed=52.1m
ep 2300/3000 steps=937095 score20=33.90 eps=0.010 loss=0.00626 q=1.203 sps=297 elapsed=52.6m
  [eval] ep=2300 mean=34.90+-4.15 median=28.5 max=82 P(>=120)=0.00 entropy=1.19/2.20 wnorm=37.484 srank=64/256
ep 2320/3000 steps=947929 score20=35.55 eps=0.010 loss=0.00628 q=1.216 sps=296 elapsed=53.3m
ep 2340/3000 steps=958160 score20=33.65 eps=0.010 loss=0.00682 q=1.217 sps=296 elapsed=53.9m
ep 2360/3000 steps=967709 score20=31.30 eps=0.010 loss=0.00564 q=1.213 sps=297 elapsed=54.3m
