pygame-ce 2.5.7 (SDL 2.32.10, Python 3.14.6)
output: final_results\08_ddqn_img_cnn_aug_5000\DDQN_seed0_0806_211939
random baseline: mean=9.80+-1.28 max=21

[training setup]
model   : DDQN / NatureCNN (1,688,745 trainable parameters)
arch    : 
            [conv1]  Conv2d(4->32,k=8,s=4) -> ReLU
            [conv2]  Conv2d(32->64,k=4,s=2) -> ReLU
            [conv3]  Conv2d(64->64,k=3,s=1) -> ReLU
            [fc]     Flatten -> Linear(3136->512) -> ReLU
            [head]   Linear(512->9)
run     : device=cuda, seed=0, episodes=5000
optim   : lr=0.0001, gamma=0.99, batch=32, buffer=100000, hidden=512, layer_norm=False, dueling_net=False, use_attention=False(4 heads, fusion=residual, position=relative), augmentation=True(spawn_safe), loss_fn=mse, max_grad_norm=10
update  : learning_starts=8000, train_every=4, target_every=1000
explore : epsilon=1->0.01, decay=0.00198
env     : type=img, obs=(4, 84, 84), actions=9, frame_stack=4, frame_skip=4, max_steps=10800
logging : log_every=20, eval_every=100, eval_episodes=20
artifact: best_agent.gif + best_agent_observation.gif, seed=20000, model_fps=15, decision_frames=True

  [eval] ep=1100 mean=7.15+-1.02 median=6.0 max=18 P(>=120)=0.00 entropy=1.98/2.20 wnorm=27.965 srank=222/512
ep 1120/5000 steps=156799 score20=9.00 eps=0.010 loss=0.01613 q=0.516 sps=398 elapsed=6.6m
ep 1140/5000 steps=160014 score20=10.20 eps=0.010 loss=0.01656 q=0.533 sps=398 elapsed=6.7m
ep 1160/5000 steps=162715 score20=8.50 eps=0.010 loss=0.01502 q=0.530 sps=397 elapsed=6.8m
ep 1180/5000 steps=165900 score20=10.15 eps=0.010 loss=0.01696 q=0.505 sps=396 elapsed=7.0m
ep 1200/5000 steps=168601 score20=8.60 eps=0.010 loss=0.01533 q=0.502 sps=394 elapsed=7.1m
  [eval] ep=1200 mean=8.85+-1.34 median=8.0 max=22 P(>=120)=0.00 entropy=1.64/2.20 wnorm=29.025 srank=228/512
ep 1220/5000 steps=171685 score20=9.75 eps=0.010 loss=0.01361 q=0.470 sps=391 elapsed=7.3m
ep 1240/5000 steps=175089 score20=10.90 eps=0.010 loss=0.01609 q=0.499 sps=391 elapsed=7.5m
ep 1260/5000 steps=177417 score20=7.30 eps=0.010 loss=0.01856 q=0.523 sps=390 elapsed=7.6m
